"BLE Beacon","00050001-0000-1000-8000-00805F9B0131","6","34412","2018/07/23 09:28:32.340 PM","1532348912340","27.0","59.0","-61","0201041AFF4C0002150005000100001000800000805F9B01310006866CC3"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:33.022 PM","1532348913022","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:33.115 PM","1532348913115","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:33.338 PM","1532348913338","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","00050001-0000-1000-8000-00805F9B0131","1","33900","2018/07/23 09:28:33.776 PM","1532348913776","27.0","58.0","-61","0201041AFF4C0002150005000100001000800000805F9B01310001846CC3"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:34.160 PM","1532348914160","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:34.464 PM","1532348914464","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","00050001-0000-1000-8000-00805F9B0131","6","34412","2018/07/23 09:28:35.325 PM","1532348915325","27.0","59.0","-61","0201041AFF4C0002150005000100001000800000805F9B01310006866CC3"
"BLE Beacon","00050001-0000-1000-8000-00805F9B0131","1","33900","2018/07/23 09:28:37.098 PM","1532348917098","27.0","58.0","-61","0201041AFF4C0002150005000100001000800000805F9B01310001846CC3"
"BLE Beacon","00050001-0000-1000-8000-00805F9B0131","2","34155","2018/07/23 09:28:37.293 PM","1532348917293","26.0","58.0","-61","0201041AFF4C0002150005000100001000800000805F9B01310002856BC3"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:37.605 PM","1532348917605","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
"BLE Beacon","A7C9A8FC-6DB8-F137-6F9E-8110F17ECA27","50528","45481","2018/07/23 09:28:37.703 PM","1532348917703","69.0","80.0","84","1EFF06000109200215A7C9A8FC6DB8F1376F9E8110F17ECA27C560B1A954"
